Task ID,Bucket,Title,Priority,Assigned Role,Effort,Depends On,Description (Notes),Acceptance Criteria (checklist)
E0.1,Phase 0 - Harden,Container build hygiene (.dockerignore),Important,DevOps,S,-,"Stop the host-built .venv/caches/secrets being copied into the runtime image (overrides builder venv, causes HTTP 424).",dockerignore excludes .venv/__pycache__/*.pyc/.env*/.git • image contains only builder-stage venv • deployed runtime passes /ping
E0.2,Phase 0 - Harden,Region-safe model IDs,Important,AIE,S,-,"Replace us.* inference profiles with region-valid global.*/au.* IDs in agentcore.json, config.py, and .env.",no us.* IDs remain • Processor and Validator invoke in target region • model IDs documented per region
E0.3,Phase 0 - Harden,Gateway tool-name namespacing map,Important,BE,S,-,Resolve Phase-3 bare tool names to the Gateway's <target>___<tool> names.,all Phase-3 tool calls succeed • map validated against live Gateway tool list • no Unknown tool errors
E0.4,Phase 0 - Harden,Autonomous-operation prompt,Important,AIE,S,-,Remove wait-for-approval so the Processor decides autonomously instead of asking for input.,prompt forbids clarification/approval waits • Processor decides on a complete claim with no human input
E0.5,Phase 0 - Harden,Forced structured-output decision fallback,Important,"BE, AIE",M,E0.4,Force a validated decision via structured_output_async when submit_decision is skipped.,forced decision produced when tool skipped • same field shape downstream • repeated happy-path runs reach ACCEPT
E0.6,Phase 0 - Harden,Region resolution hardening,Important,BE,S,-,Fall back to AWS_DEFAULT_REGION then boto3 session region instead of hardcoded us-west-2.,local dev with only a profile resolves correct region • Memory/Gateway target deploy region w/o extra exports
E0.7,Phase 0 - Harden,Memory identifier sanitization,Important,BE,S,-,Sanitize external identifiers (emails) before use as Memory actorId/sessionId.,inputs map to IDs matching actorId & sessionId regexes • ListEvents/writes succeed with email actor • safe fallback for invalid input
E0.8,Phase 0 - Harden,Structured tool-result logging,Medium,BE,S,E0.3,Replace noisy {'raw':...} blobs with clean structured one-line logs.,successful claim logs readable one-liner (id/status/amount) • errors log clearly with trace id
E0.9,Phase 0 - Harden,Baseline regression test suite,Important,QA,M,E0.1-E0.8,Lock the Phase-0 fixes with automated tests.,"tests cover venv-exclusion, model IDs, tool-name resolution, forced decision, region fallback, id sanitization • runs in CI and fails on regression"
E1.1,Phase 1 - Architecture,Core-vs-domain boundary map,Medium,SA,M,Phase 0,Document which components are reusable engine vs domain-specific per client.,every file/resource classified core or domain • reviewed and signed off
E1.2,Phase 1 - Architecture,Client configuration spec,Important,SA,L,E1.1,Design the single declarative source of truth driving a client deployment.,documented schema with examples • covers every domain surface from E1.1 • peer-reviewed with a sample config
E1.3,Phase 1 - Architecture,Extension-point interfaces,Medium,"SA, BE",M,E1.2,"Define interfaces for Agent, Tool, TriggerAdapter, DataAdapter, PolicySet.",interfaces defined with types/docstrings • one reference impl validates against each
E1.4,Phase 1 - Architecture,Architecture decision records,Medium,SA,S,E1.2,"Capture config format, orchestration model, and tenancy decisions as ADRs.","ADRs for config format, orchestration, isolation exist and approved"
E1.5,Phase 1 - Architecture,Config schema + validator,Medium,BE,M,E1.2,Machine-readable schema + validator that fails fast on invalid config.,invalid configs rejected with actionable errors • valid sample passes • validation in CI and pre-deploy
E2.1,Phase 2 - Domain extraction,Externalize agent definitions,Important,"AIE, BE",L,E1.3,Move prompts/model/tool bindings from main.py into config.,each agent loads prompt/model/tools from config • no agent literals in main.py • claims behavior unchanged with claims config
E2.2,Phase 2 - Domain extraction,Config-driven structured-output schemas,Medium,BE,M,E2.1,Make decision/validation output schemas configurable per client.,output schema fields in config • runtime validates output against configured schema
E2.3,Phase 2 - Domain extraction,Config-driven routing rules,Medium,BE,M,E2.1,Externalize thresholds and decision->action matrix.,thresholds/matrix read from config • routing changes need no code • covered by tests
E2.4,Phase 2 - Domain extraction,Parameterize naming/branding,Medium,"BE, DevOps",M,E1.2,Derive all resource names/labels from config; remove hardcoded ClaimsAgent.,no hardcoded product/domain names • two configs yield non-colliding names
E2.5,Phase 2 - Domain extraction,Data-model abstraction,Important,DE,L,E1.3,Generalize DynamoDB entities and seeds from config.,entities/keys/seeds in config • CDK provisions tables from config • seeds load
E2.6,Phase 2 - Domain extraction,Pluggable memory namespaces & actor-id,Medium,"DE, BE",M,"E2.5, E0.7",Make memory namespaces and actor-id strategy configurable.,namespaces/actor-id from config • sanitization applied • per-actor isolation verified
E2.7,Phase 2 - Domain extraction,Cedar policy templating,Medium,SEC,M,E1.3,Generate Cedar policies from config instead of hardcoded $100k rule.,policies rendered from config • policy-block behavior verified by test
E2.8,Phase 2 - Domain extraction,Optional Guardrails integration,Medium,SEC,M,E2.7,Add opt-in Bedrock Guardrails wired via config.,"toggle in config • applied when enabled, no-op when off • documented"
E3.1,Phase 3 - Flexible arch,Configurable orchestration,Important,"BE, SA",L,E2.1,Support single/dual/multi-agent pipelines defined in config.,pipeline shape driven by config • single-agent and dual-agent configs both run
E3.2,Phase 3 - Flexible arch,Pluggable execution phase,Medium,BE,M,E3.1,Make post-decision execution wiring configurable.,execution actions declared in config and dispatched generically • claims execution reproduced via config
E3.3,Phase 3 - Flexible arch,Trigger adapter interface + generic trigger,Medium,"BE, DevOps",M,E1.3,Abstract ingress behind a TriggerAdapter interface + generic trigger Lambda.,interface defined; email/S3 reimplemented as adapter • existing invocation behavior unchanged
E3.4,Phase 3 - Flexible arch,Additional trigger adapters (API/schedule/queue),Medium,"BE, DevOps",L,E3.3,"Implement REST/API, schedule (EventBridge), and queue (SQS) adapters.",each adapter deployable via config and invokes runtime • one integration test per adapter
E3.5,Phase 3 - Flexible arch,Pluggable tool registry,Medium,BE,M,"E1.3, E0.3",Drive Gateway targets/tool wiring from a config registry.,adding/removing a tool is config-only • targets generated from registry • names resolve at call time
E3.6,Phase 3 - Flexible arch,Reusable standard-tool library,Medium,BE,M,E3.5,"Provide opt-in building-block tools (notify, data CRUD, human review).",>=3 reusable tools packaged and documented • a client enables one via config with no code
E4.1,Phase 4 - Provisioning/CI,create-client scaffolding CLI,Important,DevOps,L,Phase 2,Generator producing a new deployable client project from template + config.,one command scaffolds a runnable project • generated project deploys without manual edits
E4.2,Phase 4 - Provisioning/CI,Config -> agentcore.json / CDK generator,Important,DevOps,M,"E1.5, E2.4",Generate agentcore.json and CDK params from config; kill manual placeholder edits.,no PLACEHOLDER values after generation • generated agentcore.json passes agentcore validate
E4.3,Phase 4 - Provisioning/CI,Per-client identity provisioning,Medium,"DevOps, SEC",M,E4.2,Automate Cognito pool/app-client/Identity credential provisioning per client.,Cognito + Identity provisioned from config • no secrets in source-controlled files
E4.4,Phase 4 - Provisioning/CI,Per-client deploy pipeline,Important,DevOps,L,E4.2,"Idempotent, repeatable deploy into isolated account/stack with tagging.",re-running deploy is idempotent • resources tagged with client id • teardown verified
E4.5,Phase 4 - Provisioning/CI,CI pipeline,Medium,"DevOps, QA",M,Phase 0,"Lint, unit tests, container build, dependency/secret scanning on every change.",CI runs on PRs and blocks on failure • secret scan catches committed credentials
E4.6,Phase 4 - Provisioning/CI,Automated eval gates,Medium,"QA, AIE",M,E0.9,Run AgentCore Evaluations as a gate; block low-quality deploys.,eval suite runs pre-deploy • below-threshold results fail the pipeline
